SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,ManEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.732232584,13141.57298,0.982268313,12419.12722,,,,,,,,,,,,,,,,,,,,,,
0.737423465,13181.96533,0.988202363,12432.64784,,,,,,,,,,,,,,,,,,,,,,
0.746323542,13222.40753,0.99116972,12432.68772,,,,,,,,,,,,,,,,,,,,,,
0.752256926,13249.369,0.999329952,12432.79741,,,,,,,,,,,,,,,,,,,,,,
0.75893215,13276.34045,,,,,,,,,,,,,,,,,,,,,,,,
0.764866864,13276.42021,,,,,,,,,,,,,,,,,,,,,,,,
0.768575396,13289.91092,,,,,,,,,,,,,,,,,,,,,,,,
0.773026432,13289.97075,,,,,,,,,,,,,,,,,,,,,,,,
0.776735628,13290.0206,,,,,,,,,,,,,,,,,,,,,,,,
0.779702985,13290.06048,,,,,,,,,,,,,,,,,,,,,,,,
0.787859893,13357.37442,,,,,,,,,,,,,,,,,,,,,,,,
0.796020125,13357.4841,,,,,,,,,,,,,,,,,,,,,,,,
0.80714572,13397.95622,,,,,,,,,,,,,,,,,,,,,,,,
0.815305287,13411.50675,,,,,,,,,,,,,,,,,,,,,,,,
0.8242047,13465.38981,,,,,,,,,,,,,,,,,,,,,,,,
0.828655735,13465.44963,,,,,,,,,,,,,,,,,,,,,,,,
0.836818626,13411.79591,,,,,,,,,,,,,,,,,,,,,,,,
0.847946215,13411.94547,,,,,,,,,,,,,,,,,,,,,,,,
0.856844298,13492.71023,,,,,,,,,,,,,,,,,,,,,,,,
0.868709073,13586.95573,,,,,,,,,,,,,,,,,,,,,,,,
0.87241827,13587.00558,,,,,,,,,,,,,,,,,,,,,,,,
0.879094158,13600.53617,,,,,,,,,,,,,,,,,,,,,,,,
0.886511886,13614.07673,,,,,,,,,,,,,,,,,,,,,,,,
0.895413293,13627.63724,,,,,,,,,,,,,,,,,,,,,,,,
0.902831686,13627.73694,,,,,,,,,,,,,,,,,,,,,,,,
0.91395861,13641.32736,,,,,,,,,,,,,,,,,,,,,,,,
0.920632504,13695.1805,,,,,,,,,,,,,,,,,,,,,,,,
0.926565224,13735.58283,,,,,,,,,,,,,,,,,,,,,,,,
0.936207141,13776.035,,,,,,,,,,,,,,,,,,,,,,,,
0.940657512,13789.53568,,,,,,,,,,,,,,,,,,,,,,,,
0.942883029,13789.56559,,,,,,,,,,,,,,,,,,,,,,,,
0.953266785,13830.02774,,,,,,,,,,,,,,,,,,,,,,,,
0.959199505,13870.43006,,,,,,,,,,,,,,,,,,,,,,,,
0.965134219,13870.50983,,,,,,,,,,,,,,,,,,,,,,,,
0.974777465,13884.0803,,,,,,,,,,,,,,,,,,,,,,,,
0.981454018,13884.17004,,,,,,,,,,,,,,,,,,,,,,,,
0.987388732,13884.24981,,,,,,,,,,,,,,,,,,,,,,,,
0.993323447,13884.32958,,,,,,,,,,,,,,,,,,,,,,,,
0.998515657,13897.84022,,,,,,,,,,,,,,,,,,,,,,,,
