SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,ManEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.081341081,4167.770673,0.080623172,3683.890056,0.08585726,2850.627074,0.108967281,565.9914556,0.146029997,1157.88746,0.094690199,4248.595258,0.205448929,-292.9268019,0.079597807,781.1158798,0.129455191,777.6824034,0.047938144,5958.506224,,,,,0.065840939,5174.483104
0.081334433,4302.179186,0.081359693,3791.426837,0.087326314,3146.345744,0.114151515,740.7923189,0.154176934,1426.814166,0.099866456,4584.686337,0.218800042,-252.4247708,0.088677066,830.9012876,0.141919294,775.9656652,0.053608247,6273.858921,,,,,0.075619296,5760.108468
0.08132978,4396.265145,0.083579893,3898.983561,0.093253052,3307.715727,0.11711023,915.5632694,0.164544071,1803.297595,0.103565016,4799.789812,0.236604184,-252.1854678,0.096628044,897.8540773,0.160639521,858.3690987,0.065979381,6904.564315,,,,,0.086701434,6239.223674
0.083547986,4544.144422,0.085797434,4060.303689,0.095473252,3415.27245,0.117848081,996.218348,0.170464826,2085.63524,0.108002757,5068.666664,0.257375684,-251.906281,0.104574645,949.3562232,0.166872789,861.8025751,0.085051546,7253.112033,,,,,0.105606258,6696.956317
0.085023023,4718.895431,0.087273136,4221.613846,0.102884997,3549.780672,0.122288481,1211.331794,0.176392228,2233.564372,0.109477794,5243.417672,0.275919671,-211.3344532,0.125556299,1014.592275,0.187280089,899.5708155,0.100515464,7502.074689,,,,,0.125814863,7144.025448
0.087981074,4907.107232,0.088747508,4409.805706,0.114747778,3684.34872,0.124507352,1345.77022,0.184541825,2448.727673,0.116143712,5458.561031,0.29817352,-184.1536219,0.151070043,1078.111588,0.19974565,903.0042918,0.125257732,8082.987552,,,,,0.141460235,7473.997276
0.090941119,5054.99648,0.090961725,4638.330091,0.129579246,3792.07495,0.125984383,1480.198675,0.195655454,2731.135114,0.121329275,5606.480192,0.314494649,-197.3751121,0.170907853,1105.579399,0.211085849,933.9055794,0.153092784,8564.315353,,,,,0.168839635,7899.690786
0.09315866,5216.316608,0.093917782,4866.864446,0.139221827,3819.086275,0.128200594,1668.400505,0.200098513,2892.485155,0.124285332,5835.014548,0.324138559,-197.2454896,0.18734477,1127.896996,0.220152464,939.055794,0.171134021,8979.253112,,,,,0.204041721,8293.352106
0.095372877,5444.840993,0.097616343,5081.967921,0.147382059,3819.195955,0.131157316,1883.49401,0.20676709,3053.865109,0.128723737,6090.450548,0.340461682,-250.7895337,0.218520833,1179.399142,0.230363895,985.4077253,0.182989691,9095.435685,,,,,0.218383312,8474.243036
0.099074762,5592.740212,0.100573729,5283.620574,0.159991332,3859.688015,0.133375522,2031.373287,0.214175511,3255.577588,0.13241831,6386.199131,0.361975021,-250.5003759,0.25025666,1206.866953,0.240566086,999.1416309,0.215979381,9261.410788,,,,,0.238591917,8655.071486
