SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.142402546,1440.144014,0.158313445,1576.957696,0.167859984,1296.129613,0.137629276,1324.932493,0.161495625,1162.916292,0.156722355,1303.330333,0.30071599,316.8316832,0.154670087,1494.061008,0.241268624,912.6700929,0.370396487,2842.907333,,,,,0.184868421,3005.808758
0.144789181,1472.547255,0.15910899,1609.360936,0.171042164,1306.930693,0.143198091,1360.936094,0.163882259,1188.118812,0.159904535,1328.532853,0.315831344,324.0324032,0.16041113,1497.649095,0.244119611,778.3481257,0.382256385,2911.037535,,,,,0.188815789,3015.192136
0.147175815,1508.550855,0.159904535,1638.163816,0.175815434,1314.131413,0.151949085,1396.939694,0.167064439,1231.323132,0.161495625,1353.735374,0.333333333,331.2331233,0.163282954,1508.517539,0.248125475,691.2047074,0.408082289,2946.870958,,,,,0.192105263,2993.297587
0.148766905,1540.954095,0.159904535,1659.765977,0.183770883,1328.532853,0.156722355,1411.341134,0.170246619,1263.726373,0.143198091,1206.120612,0.346062053,338.4338434,0.165586976,1562.947274,0.256183042,836.3367759,0.415879405,2830.311153,,,,,0.194078947,2949.50849
0.150357995,1580.558056,0.162291169,1706.570657,0.185361973,1328.532853,0.164677804,1436.543654,0.174224344,1296.129613,0.145584726,1220.522052,0.358790772,338.4338434,0.168469218,1646.410923,0.259649755,992.391464,0.436607375,2685.483105,,,,,0.211842105,3033.958892
0.151949085,1616.561656,0.165473349,1749.774977,0.193317422,1386.138614,0.171837709,1465.346535,0.177406523,1321.332133,0.14638027,1227.722772,0.369928401,342.0342034,0.172499565,1729.866239,0.263107612,1086.740227,0.450079933,2592.951307,,,,,0.223684211,3074.620197
0.15274463,1638.163816,0.167064439,1771.377138,0.197295147,1404.140414,0.178202068,1501.350135,0.182975338,1346.534653,0.16070008,1357.335734,0.380270485,345.6345635,0.181682838,1718.91028,0.271731419,1177.421724,0.469724494,2576.650369,,,,,0.238815789,3055.853441
0.155131265,1684.968497,0.168655529,1800.180018,0.203659507,1440.144014,0.182975338,1515.751575,0.186953063,1371.737174,0.169451074,1404.140414,0.386634845,345.6345635,0.185711101,1787.846554,0.275735198,1075.759265,0.490374632,2632.626472,,,,,0.243421053,3124.664879
0.156722355,1731.773177,0.169451074,1825.382538,0.204455052,1443.744374,0.186953063,1548.154815,0.190930788,1400.540054,0.169451074,1414.941494,0.396181384,345.6345635,0.189171042,1896.714358,0.280315114,988.6116792,0.515699304,2628.305291,,,,,0.251315789,3109.025916
0.158313445,1760.576058,0.170246619,1854.185419,0.212410501,1504.950495,0.194908512,1594.959496,0.196499602,1432.943294,0.163882259,1382.538254,0.400954654,345.6345635,0.192047554,1940.250645,0.287184988,857.8903008,0.535884013,2551.756881,,,,,0.258552632,3102.770331
0.159904535,1810.981098,0.172633254,1886.588659,0.214797136,1526.552655,0.201272872,1627.362736,0.201272872,1465.346535,0.169451074,1450.945095,0.409705648,352.8352835,0.200088452,1969.230385,0.290608985,716.3046457,0.563300784,2483.153466,,,,,0.264473684,3055.853441
0.163086714,1857.785779,0.175815434,1926.192619,0.219570406,1562.556256,0.206841687,1645.364536,0.204455052,1490.549055,0.171837709,1468.946895,0.413683373,352.8352835,0.202970694,2052.694034,0.292930719,894.1462302,0.584456825,2567.235923,,,,,0.272368421,3065.236819
0.163882259,1908.190819,0.177406523,1972.9973,0.222752586,1587.758776,0.216388226,1688.568857,0.210819411,1544.554455,0.174224344,1501.350135,0.421638823,360.0360036,0.204703269,2125.276738,0.296392222,1013.903315,0.594777224,2607.272223,,,,,0.276973684,3040.214477
0.167064439,1936.993699,0.179793158,2023.40234,0.22991249,1634.563456,0.222752586,1702.970297,0.216388226,1580.558056,0.178202068,1537.353735,0.431185362,360.0360036,0.206438449,2216.008243,0.299853726,1133.660401,0.620075434,2671.224454,,,,,0.282236842,3055.853441
0.167859984,1962.19622,0.181384248,2052.205221,0.238663484,1681.368137,0.23150358,1724.572457,0.220365951,1620.162016,0.181384248,1573.357336,0.441527446,363.6363636,0.20817467,2313.999269,0.302729196,1169.937167,0.633010957,2630.907962,,,,,0.292763158,3037.086685
0.168655529,1990.9991,0.184566428,2077.407741,0.244232299,1681.368137,0.238663484,1738.973897,0.224343675,1663.366337,0.184566428,1616.561656,0.453460621,363.6363636,0.210487548,2430.134928,0.309042729,1162.631805,0.655770317,2578.424917,,,,,0.303947368,3159.070599
0.171042164,2037.80378,0.187748608,2106.210621,0.246618934,1720.972097,0.247414479,1764.176418,0.227525855,1684.968497,0.186157518,1634.563456,0.462211615,363.6363636,0.212220123,2502.717632,0.310188229,1144.474669,0.668698057,2558.18884,,,,,0.309868421,3209.115282
0.173428799,2088.208821,0.188544153,2153.015302,0.249005569,1746.174617,0.259347653,1803.780378,0.23150358,1724.572457,0.189339698,1645.364536,0.479713604,363.6363636,0.212815012,2647.903876,0.315368243,1238.810931,0.699712181,2541.750919,,,,,0.319078947,3256.032172
0.175019889,2145.814581,0.190135243,2199.819982,0.253778839,1771.377138,0.263325378,1818.181818,0.235481305,1753.375338,0.192521877,1659.765977,0.487669053,367.2367237,0.220307905,2858.375797,0.319392338,1278.709122,0.712098217,2585.778396,,,,,0.330921053,3271.671135
0.178202068,2196.219622,0.190135243,2228.622862,0.259347653,1796.579658,0.274463007,1850.585059,0.238663484,1785.778578,0.197295147,1699.369937,0.488464598,367.2367237,0.222616615,2945.473374,0.323426852,1391.20252,0.722415503,2633.846863,,,,,0.338157895,3243.521001
