SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0305,38.12801576,0.0305,32.2050986,0.787567568,91.15151515,0.976756757,87.27272727,0.17964,105.85809,0.4614,-4.681186199,0.61,98.75782776
0.031,26.11892665,0.031,30.80306442,0.799459459,92.7030303,0.979459459,87.46666667,0.182634,99.16247,0.46909,-5.607079029,0.62,95.49494934
0.0315,47.92550533,0.0315,32.39124012,0.811351351,93.67272727,0.988648649,87.46666667,0.185628,91.64511,0.47678,-30.11149406,0.63,94.03429413
0.032,49.79754865,0.032,31.28640474,0.826486486,92.50909091,0.995675676,87.66060606,0.188622,99.25263,0.48447,-14.09231091,0.64,98.62493896
0.0325,50.13101292,0.0325,41.35774925,0.847027027,92.50909091,0.997297297,87.85454545,0.191616,104.621376,0.49216,-25.01523018,0.65,100.5649033
0.033,27.84384919,0.033,38.53929036,0.868648649,93.86666667,,,0.19461,67.893776,0.49985,-19.70438957,0.66,106.2307281
0.0335,57.66421871,0.0335,36.95625201,0.885405405,92.12121212,,,0.197604,110.10699,0.50754,7.540184021,0.67,102.1844482
0.034,39.42985213,0.034,33.70764434,0.900540541,92.8969697,,,0.200598,64.61776,0.51523,7.459290981,0.68,85.17084503
0.0345,30.32338125,0.0345,39.55072062,0.905405405,93.09090909,,,0.203592,102.87905,0.52292,-3.167172909,0.69,95.92281342
0.035,44.87158876,0.035,34.24241547,0.917297297,92.7030303,,,0.206586,73.2113,0.53061,9.122405052,0.7,100.2716522
0.0355,62.6103261,0.0355,41.7138584,0.928108108,92.8969697,,,0.20958,118.32161,0.5383,-27.15418816,0.71,98.26786804
0.036,43.495149,0.036,36.61920102,0.935135135,93.47878788,,,0.212574,122.921776,0.54599,-15.62506008,0.72,95.05761719
0.0365,28.56935174,0.0365,37.93844623,0.942702703,93.09090909,,,0.215568,133.18898,0.55368,11.87950516,0.73,101.8567734
0.037,10.61371519,0.037,38.58514194,0.951351351,93.86666667,,,0.218562,109.897804,0.56137,41.54835129,0.74,103.1665039
0.0375,47.37675139,0.0375,38.50422569,0.959459459,94.64242424,,,0.221556,111.091354,0.56906,-10.97353935,0.75,92.31990051
0.038,20.24415792,0.038,43.45514057,0.965405405,94.44848485,,,0.22455,110.50174,0.57675,5.313061237,0.76,98.7830658
0.0385,63.01738655,0.0385,38.57592374,0.97027027,94.06060606,,,0.227544,119.351585,0.58444,10.86283398,0.77,101.6538773
0.039,23.60165528,0.039,43.96558272,0.978378378,94.64242424,,,0.230538,119.62771,0.59213,27.42786026,0.78,95.98840332
0.0395,51.67829248,0.0395,45.95165488,0.982702703,93.86666667,,,0.233532,119.36673,0.59982,20.8983345,0.79,105.1966782
0.04,32.594566,0.04,49.53638954,0.984324324,93.86666667,,,0.236526,114.95347,0.60751,4.16173315,0.8,96.77375793
0.0405,10.06408955,0.0405,43.14947866,0.988648649,95.03030303,,,0.23952,84.909004,0.6152,-10.55495739,0.81,98.31034851
0.041,64.32055996,0.041,40.0155518,0.98972973,95.41818182,,,0.242514,104.65418,0.62289,-5.784860134,0.82,100.6034164
0.0415,43.83146087,0.0415,41.06561418,0.991351351,95.41818182,,,0.245508,122.98701,0.63058,-12.54699612,0.83,98.0138092
0.042,26.55666354,0.042,36.52943458,0.994594595,95.22424242,,,0.248502,97.43334,0.63827,-9.400227547,0.84,108.4656143
0.0425,38.76585886,0.0425,40.79316201,0.996756757,95.03030303,,,0.251496,106.90233,0.64596,-26.9017334,0.85,102.9748383
0.043,37.86472926,0.043,40.98920199,0.998378378,95.03030303,,,0.25449,96.30017,0.65365,23.95920563,0.86,91.46643066
0.0435,19.77463627,0.0435,39.02369425,,,,,0.257484,119.388855,0.66134,-1.562294006,0.87,99.05000305
0.044,49.66234939,0.044,39.48719692,,,,,0.260478,125.425896,0.66903,-22.23855782,0.88,96.65979004
0.0445,41.75906762,0.0445,41.27216927,,,,,0.263472,112.280075,0.67672,-19.23898506,0.89,102.9688263
0.045,11.78614581,0.045,40.76746142,,,,,0.266466,114.17003,0.68441,15.93154621,0.9,101.0034332
0.0455,59.13233503,0.0455,40.27617608,,,,,0.26946,120.8502,0.6921,-11.24089909,0.91,101.6740875
0.046,28.09430591,0.046,41.56209387,,,,,0.272454,110.300316,0.69979,7.869888783,0.92,94.49581146
0.0465,57.13211997,0.0465,41.82488488,,,,,0.275448,119.1514,0.70748,11.02202988,0.93,88.13880157
0.047,56.44637857,0.047,42.07418969,,,,,0.278442,80.73383,0.71517,-12.43165779,0.94,101.5963058
0.0475,67.88316401,0.0475,40.74055089,,,,,0.281436,124.378815,0.72286,12.89239025,0.95,107.437706
0.048,43.09492526,0.048,41.37200364,,,,,0.28443,108.00378,0.73055,-11.65472603,0.96,107.0390625
0.0485,26.64243489,0.0485,38.46378072,,,,,0.287424,87.1787,0.73824,-4.122177124,0.97,98.0066452
0.049,46.22336728,0.049,43.40634536,,,,,0.290418,76.179886,0.74593,8.278844833,0.98,103.7270889
0.0495,44.2164826,0.0495,43.52450568,,,,,0.293412,106.66356,0.75362,12.98583603,0.99,98.23310852
0.05,42.88221403,0.05,40.17804817,,,,,0.296406,125.10709,0.76131,9.381064415,1,105.7601547
0.0505,69.69984235,0.0505,43.12169399,,,,,0.2994,123.12634,0.769,-1.350522995,,
