SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0315,4399.795011,0.0315,4205.937747,0.340681708,10300.28869,0.375548818,10287.31648,0.322129079,10434.44793,,,0.722946545,10641.39359
0.032,4550.038232,0.032,4116.561992,0.346613098,10367.57272,0.389637117,10421.91444,0.328802308,10501.74193,,,0.738591917,10769.0225
0.0325,3732.714444,0.0325,4167.282416,0.353286328,10434.86671,0.400019543,10489.25829,0.338441566,10595.95751,,,0.745110821,10694.40568
0.033,4594.999634,0.033,4238.220368,0.359217054,10515.59159,0.412626822,10570.0729,0.349563837,10703.63388,,,0.758148631,10758.1646
0.0335,4078.872028,0.0335,4405.976452,0.366631458,10596.3364,0.43190999,10664.4181,0.361425953,10851.64278,,,0.763363755,10790.05794
0.034,4469.963871,0.034,4463.378302,0.376270715,10690.55199,0.446002942,10704.93011,0.370322042,10972.73009,,,0.779009126,10779.2417
0.0345,4515.99216,0.0345,4005.115446,0.380718427,10757.81607,0.451194488,10731.88161,0.379962629,11040.06397,,,0.796610169,10885.55052
0.035,4723.381555,0.035,4183.192376,0.391842028,10838.61074,0.456387362,10731.9514,0.394053587,11120.89853,,,0.803780965,10864.1749
0.0355,4680.066639,0.0355,4146.675492,0.39555056,10852.10145,0.45861288,10731.98132,0.410368068,11242.08555,,,0.823337679,10938.51402
0.036,4668.837745,0.036,4646.379084,0.40148328,10892.50377,0.461580237,10732.0212,0.420006661,11349.74198,,,0.832464146,10885.16869
0.0365,4658.49634,0.0365,4510.033837,0.408899013,10946.36688,0.465289434,10732.07105,0.451149286,11645.85949,,,0.835723598,10885.13398
0.037,4659.079965,0.037,4472.471476,0.42447365,11027.22138,0.47567053,10826.29661,0.462273551,11713.21331,,,0.847457627,10991.50529
0.0375,4938.480057,0.0375,4425.188118,0.428923356,11054.16291,0.489019649,10907.12119,0.465981418,11740.14487,,,0.853976532,10959.48699
0.038,4675.717894,0.038,4378.896523,0.435597915,11094.5752,0.503111271,10974.5149,0.437060987,11511.26153,,,0.862451108,10948.74711
0.0385,4918.377303,0.0385,4475.525069,0.443756153,11135.00744,0.50607464,11055.19989,0.476365838,11767.16617,,,0.884615385,11086.95622
0.039,4088.278579,0.039,4138.733507,0.453398069,11175.45961,0.512749199,11095.61218,0.488971123,11888.30334,,,0.89243807,11054.92403
