SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.074,922.1081104,0.074,842.2024287,0.816703622,9320.590791,,,,,,,,
0.0745,992.0389061,0.0745,1344.142785,0.821138211,9299.739357,,,,,,,,
0.075,1246.839142,0.075,408.6934204,0.824094605,9351.867941,,,,,,,,
0.0755,1817.481488,0.0755,1390.063029,0.827790096,9414.422242,,,,,,,,
0.076,893.9075934,0.076,727.0689034,0.830746489,9456.125109,,,,,,,,
0.0765,938.6570777,0.0765,834.2049243,0.839615669,9560.382276,,,,,,,,
0.077,6504.798475,0.077,1200.227767,0.841832964,9654.213727,,,,,,,,
0.0775,201.2046491,0.0775,735.8002542,0.848484848,9602.085143,,,,,,,,
0.078,3409.591018,0.078,655.8830742,0.85218034,9716.768028,,,,,,,,
0.0785,413.0782343,0.0785,171.4303873,0.855875831,9789.748045,,,,,,,,
0.079,6422.747169,0.079,600.2733724,0.863266814,9956.559513,,,,,,,,
0.0795,6255.070978,0.0795,352.0948246,0.866962306,10019.11381,,,,,,,,
0.08,652.6331184,0.08,648.564735,0.872875092,10050.39096,,,,,,,,
0.0805,4870.163003,0.0805,550.2708609,0.880266075,9956.559513,,,,,,,,
0.081,6465.08046,0.081,614.6240774,0.885439763,9800.173762,,,,,,,,
0.0815,3109.882454,0.0815,840.3388881,0.88691796,9758.470895,,,,,,,,
0.082,1202.421109,0.082,302.5563278,0.892830746,9664.639444,,,,,,,,
0.0825,3204.907226,0.0825,607.5129519,0.900960828,9622.936577,,,,,,,,
0.083,1479.051253,0.083,1061.502991,0.909830007,9612.51086,,,,,,,,
0.0835,1198.327187,0.0835,504.1929811,0.91722099,9581.23371,,,,,,,,
0.084,418.6414952,0.084,2435.524675,0.917960089,9560.382276,,,,,,,,
0.0845,1011.147277,0.0845,3172.864118,0.922394678,9706.342311,,,,,,,,
0.085,2605.887088,0.085,1019.626912,0.925351072,9768.896612,,,,,,,,
